Time,Average,Washington Post, Daily Mail, Fox News,The Guardian, New York Times
84,0.002293644,0.002879499,0.000692425,0.003531073,0.002294894,0.000906618
85,0.002322314,0.00312989,0.00055394,0.003531073,0.002103653,0.000453309
86,0.002322314,0.003317684,0.00055394,0.002589454,0.002486135,0
87,0.002178962,0.003192488,0.000969395,0.00094162,0.002103653,0.001359927
88,0.002064279,0.003004695,0.000969395,0.00094162,0.002294894,0.000453309
89,0.002666361,0.003568075,0.000692425,0.003531073,0.002868617,0.000453309
90,0.002264973,0.002816901,0.00027697,0.003060264,0.002868617,0.001813237
91,0.002236303,0.002816901,0.00110788,0.002589454,0.002486135,0.000453309
92,0.003096419,0.003630673,0.00110788,0.002824859,0.005163511,0.001359927
93,0.002551679,0.003317684,0.00055394,0.002118644,0.004207305,0.000453309
94,0.002695031,0.003630673,0.00083091,0.003766478,0.001912412,0.001813237
95,0.002350985,0.003192488,0.00027697,0.002824859,0.002677376,0.001359927
96,0.00263769,0.003255086,0.001246365,0.003295669,0.003059858,0.000453309
97,0.003239772,0.004507042,0.000969395,0.004708098,0.002294894,0.000906618
98,0.002867055,0.003755869,0.00083091,0.003531073,0.003442341,0.000453309
99,0.003039078,0.004381847,0.000969395,0.002118644,0.002677376,0.002719855
100,0.002408326,0.003505477,0.00027697,0.003295669,0.001912412,0.000906618
101,0.001634221,0.002441315,0.000415455,0.001883239,0.001338688,0
102,0.002207632,0.002942097,0.00055394,0.002824859,0.002294894,0.000906618
103,0.001691562,0.002128326,0.000138485,0.002824859,0.002103653,0.000453309
104,0.001806244,0.002629108,0.000692425,0.002118644,0.000956206,0.000906618
105,0.001949597,0.002503912,0.000415455,0.003295669,0.001912412,0.000453309
106,0.001720233,0.002378717,0.000415455,0.002824859,0.001147447,0.000453309
107,0.001662892,0.002503912,0.00055394,0.000706215,0.002103653,0
108,0.001376186,0.001690141,0.00055394,0.001647834,0.00172117,0.000453309
109,0.001519539,0.00200313,0.000969395,0.00094162,0.001529929,0.000906618
110,0.001175492,0.001815336,0,0.001412429,0.001147447,0
111,0.001462198,0.002128326,0,0.001412429,0.002103653,0
112,0.00157688,0.002128326,0.000138485,0.001412429,0.002677376,0
113,0.001404857,0.002065728,0.000138485,0.001177024,0.001912412,0
114,0.001462198,0.001815336,0.000692425,0.00094162,0.002103653,0.000906618
115,0.001605551,0.002316119,0.000692425,0.001412429,0.001147447,0.000906618
116,0.001720233,0.001940532,0.00055394,0.004237288,0.001338688,0
117,0.002064279,0.002942097,0.00027697,0.002118644,0.002486135,0.000453309
118,0.001490868,0.001752739,0.000415455,0.001177024,0.002868617,0.000453309
119,0.00157688,0.002316119,0.00055394,0.001647834,0.001147447,0.000453309
120,0.001920927,0.00256651,0.00055394,0.001177024,0.002677376,0.001359927
121,0.00212162,0.003442879,0.000415455,0.001883239,0.001529929,0
122,0.002150291,0.002879499,0.00027697,0.003531073,0.002294894,0
123,0.001605551,0.001877934,0.000415455,0.002354049,0.002103653,0.000906618
124,0.001863586,0.002879499,0.00027697,0.001883239,0.001147447,0.001359927
125,0.001118151,0.001627543,0.00027697,0.001177024,0.000764965,0.000906618
126,0.001318845,0.002253521,0.000138485,0.001177024,0.000191241,0.001359927
127,0.001290175,0.001690141,0.00027697,0.001883239,0.001529929,0
128,0.001433527,0.00200313,0.00027697,0.001177024,0.00172117,0.000906618
129,0.001204163,0.001815336,0.000415455,0.001412429,0.000764965,0
130,0.001204163,0.001877934,0.00027697,0.001177024,0.000956206,0
131,0.001376186,0.002316119,0.00027697,0.00094162,0.000956206,0
132,0.001089481,0.001189358,0.00027697,0.002354049,0.001338688,0
133,0.001175492,0.001502347,0.00027697,0.001647834,0.001147447,0.000906618
134,0.001290175,0.001752739,0.00027697,0.001177024,0.001912412,0
135,0.001003469,0.001377152,0,0.001647834,0.000956206,0.000453309
136,0.000946128,0.001314554,0.00027697,0.00047081,0.001338688,0.000453309
137,0.001146822,0.001752739,0.00027697,0.00047081,0.001338688,0.000453309
138,0.001146822,0.001502347,0.000415455,0.001177024,0.001338688,0.000453309
139,0.001261504,0.00200313,0.00027697,0.00094162,0.001147447,0
140,0.001261504,0.001877934,0.00027697,0.001647834,0.000956206,0
141,0.001404857,0.002128326,0.00027697,0.001177024,0.001338688,0.000453309
142,0.001376186,0.001752739,0.00027697,0.002354049,0.001338688,0.000453309
143,0.001146822,0.001251956,0.000138485,0.002589454,0.001147447,0.000906618
144,0.000974799,0.001564945,0.00027697,0.00047081,0.000956206,0
145,0.001347516,0.00200313,0.00027697,0.001647834,0.001147447,0
146,0.001232834,0.001877934,0.000415455,0.001412429,0.000573723,0.000453309
147,0.001347516,0.001940532,0.000415455,0.001177024,0.001338688,0.000453309
148,0.000974799,0.001126761,0.00027697,0.001647834,0.001147447,0.000453309
149,0.001232834,0.001564945,0.00027697,0.000706215,0.001147447,0.003173164
150,0.000802775,0.001251956,0,0.00047081,0.000956206,0.000453309
151,0.000917457,0.00143975,0.000415455,0.00094162,0.000382482,0
152,0.00106081,0.001815336,0.000138485,0.00047081,0.000764965,0.000453309
153,0.000974799,0.001314554,0,0.002118644,0.000573723,0.000453309
